epoch,accuracy,loss,val_accuracy,val_loss
0,0.7409999966621399,0.8575897812843323,0.831250011920929,0.3461516499519348
1,0.8339999914169312,0.4218181073665619,0.78125,0.5655079483985901
2,0.8610000014305115,0.36431294679641724,0.90625,0.2507427930831909
3,0.902999997138977,0.30547401309013367,0.8299999833106995,0.4946476221084595
4,0.9010000228881836,0.2753235101699829,0.8075000047683716,0.4982944428920746
5,0.9150000214576721,0.24266263842582703,0.90625,0.3171042203903198
6,0.9350000023841858,0.1850222796201706,0.8700000047683716,0.4696090817451477
7,0.9430000185966492,0.17597606778144836,0.8987500071525574,0.3313404321670532
8,0.9449999928474426,0.14871419966220856,0.7900000214576721,1.0367523431777954
9,0.9570000171661377,0.10241113603115082,0.9049999713897705,0.4138549864292145
